Country,Decade,Schizophrenia Avg Percent,Schizophrenia Avg DALYs,Depressive Avg Percent,Depressive Avg DALYs,Anxiety Avg Percent,Anxiety Avg DALYs,Bipolar Avg Percent,Bipolar Avg DALYs,Eating Avg Percent,Eating Avg DALYs
Costa Rica,3,0.28595770500000006,183.89189299999998,3.2004834900000008,566.5997649999999,4.15942237,399.336705,0.872384448,189.553993,0.22703565,48.4532176
Cote d'Ivoire,1,0.213337921,134.80318199999996,3.9296258,657.824963,3.1795440200000002,301.68099600000005,0.5315648319999999,113.54990200000002,0.10919329289999999,23.0962406
Cote d'Ivoire,2,0.212302064,134.53313,3.8846350700000003,649.992257,3.18615762,303.070464,0.53156346,113.78068430000003,0.10484981690000002,22.237338800000003
Cote d'Ivoire,3,0.21142455199999993,134.91822299999998,3.89823409,655.567124,3.22125568,307.722757,0.5315770179999999,114.35477,0.1078286959,22.984668799999998
Croatia,1,0.29088253599999997,186.134579,3.41232328,579.4835169999999,3.53653392,337.01635899999997,0.5456040609999999,117.66597499999997,0.145254629,31.0363072
Croatia,2,0.292454412,187.48426,3.16812856,528.954298,3.54338791,338.20253099999996,0.5454529189999999,117.8534971,0.15141969000000005,32.4261142
Croatia,3,0.29403862,188.60125699999998,3.01498945,497.2326289999999,3.5684437099999995,340.72998799999993,0.5451204470000002,117.82943159999999,0.164262203,35.455457
Cuba,1,0.276570395,177.76498099999998,4.68692306,874.7352960000001,4.185190680000001,400.544447,0.948456653,205.78387200000003,0.170817755,36.34780440000001
Cuba,2,0.276367804,177.935359,4.0743589,743.9334530000001,4.182990729999999,400.903258,0.9481375169999999,206.007508,0.165661408,35.324429200000004
Cuba,3,0.278835562,179.37625599999998,3.77246016,678.918793,4.229808040000001,405.39984799999996,0.947826393,206.01457999999997,0.18427395,39.3152284
Cyprus,1,0.27408036199999997,175.389884,3.05352245,509.494867,6.34102922,608.249748,0.90658455,195.44014699999997,0.35297085199999995,74.9619747
Cyprus,2,0.274701326,175.60805699999997,3.01737862,501.866476,6.436437609999999,617.227637,0.9081563449999999,195.804828,0.38560746199999996,81.92060950000001
Cyprus,3,0.274348575,175.390959,3.01314875,500.94582899999995,6.493025159999999,622.674134,0.9100478900000001,196.026056,0.40388512099999996,85.7107201
Czechia,1,0.292901804,187.483329,3.2381081299999996,544.083937,3.20300125,305.60625400000004,0.548029832,118.32812379999999,0.163253504,34.941471
Czechia,2,0.294819329,188.77177999999998,3.02784096,500.95925900000003,3.1920242199999995,304.59853899999996,0.547646758,118.26700290000001,0.172131984,37.1213724
Czechia,3,0.296377176,189.448577,2.8963024699999997,472.83579999999995,3.1646937599999996,301.61771799999997,0.547268559,118.01607500000003,0.186519795,40.083128900000006
Democratic Republic of Congo,1,0.205817262,128.60207350000002,5.55392008,992.9288559999999,3.82070252,358.412812,0.556540029,117.63260729999999,0.0795177276,16.7724823
Democratic Republic of Congo,2,0.20058255200000003,125.661818,5.46039544,975.451026,3.81468455,358.50838799999997,0.556526267,117.87000880000001,0.06555116409999999,13.899951100000001
Democratic Republic of Congo,3,0.202067045,127.71528800000002,5.42003953,973.0914849999999,3.81756825,360.97764099999995,0.556525787,118.72910440000001,0.0697619011,14.8949849
Denmark,1,0.21581033699999996,136.726675,4.1938032,745.703915,4.82943768,461.59230099999996,0.9495949280000001,203.99744700000002,0.41924917700000003,89.28487899999999
Denmark,2,0.220131648,139.682951,3.6486281000000007,631.5868360000001,4.83120528,462.168678,0.9435618729999999,202.805995,0.446661946,95.21191050000002
Denmark,3,0.24057560699999997,153.04592599999998,3.48515073,597.8122300000001,4.86878741,466.017553,0.9407442380000001,202.341716,0.462449101,98.27438459999999
Djibouti,1,0.21928118000000002,140.9165,4.436196499999999,763.405655,3.2218047099999993,308.23560799999996,0.6072824640000001,131.360219,0.10346820890000001,22.146071999999997
Djibouti,2,0.218899549,140.64774500000001,4.45131741,766.5787620000001,3.22295698,308.227105,0.607346401,131.351102,0.0982097203,21.0868171
