Country,Schizophrenia,Depressive,Anxiety,Bipolar,Eating
Burkina Faso,0.2844358193333333,2.8288014900000005,3.396524723333333,0.46674131133333324,0.136452161
Burundi,0.2054343059999999,4.369421480000001,3.0832768533333326,0.535351129,0.0826769535
Cambodia,0.2008887246666667,5.075459053333333,3.572901673333333,0.5793489903333332,0.07220322656666668
Cameroon,0.26380592533333336,3.1025173566666657,4.484021596666666,0.3184057243333333,0.068337038
Canada,0.21235916700000004,4.583411666666666,3.1865359133333326,0.5344666316666667,0.10646768370000002
Cape Verde,0.288482296,3.30702592,4.034142243333332,0.7927556336666668,0.4160307086666667
Central African Republic,0.22584445466666664,4.8782002900000005,3.0686520299999995,0.5789942263333334,0.11921004029999999
Chad,0.19482022499999996,5.979900223333335,4.257796446666666,0.529935243,0.07627051853333332
Chile,0.20797962866666664,5.211960533333333,3.2586101399999996,0.5377682216666666,0.08740433966666666
China,0.3154857766666666,3.9814926833333337,5.467285743333332,0.9722841356666668,0.313571788
Colombia,0.30286447733333327,2.8796129199999996,3.366116320000001,0.18189670433333333,0.08253416129999999
Comoros,0.2775458373333334,2.403445683333333,4.66042078,0.7409929453333333,0.1951745923333333
Congo,0.21702505533333336,4.2866486633333345,3.4729941833333333,0.6088122059999999,0.08961598416666666
Cook Islands,0.21436829400000004,5.81650209,3.733718736666666,0.5453311796666668,0.12306647463333334
Costa Rica,0.311440612,3.1385082933333326,3.9704184566666667,0.28153661166666666,0.13855139
Cote d'Ivoire,0.2837472083333334,3.1525790933333324,4.083784343333333,0.8714871439999999,0.20929235599999998
Croatia,0.21235484566666668,3.9041649866666654,3.195652440000001,0.5315684366666668,0.10729060189999998
Cuba,0.29245852266666666,3.198480429999999,3.5494551800000003,0.5453924756666667,0.15364550733333332
Cyprus,0.2772579203333334,4.177914039999999,4.199329816666667,0.9481401876666666,0.17358437100000002
Czechia,0.27437675433333336,3.028016606666667,6.423497330000002,0.908262928333333,0.3808211449999999
Democratic Republic of Congo,0.2946994363333333,3.054083853333333,3.1865730766666664,0.5476483830000001,0.1739684276666667
Denmark,0.20282228633333332,5.47811835,3.817651773333333,0.5565306943333331,0.07161026426666667
Djibouti,0.22550586399999997,3.7758606766666665,4.843143456666667,0.9446336796666668,0.44278674133333346
Dominica,0.21910747066666666,4.441226863333333,3.230226476666667,0.6073205303333332,0.102258577
Dominican Republic,0.2724766966666667,2.979024903333334,4.221061336666668,0.9014769143333333,0.19382458666666666
East Timor,0.2716454943333334,3.8642538933333332,4.46027817,0.9114126036666667,0.195780533
Ecuador,0.2570117613333333,2.8972166400000003,3.69054801,0.3160756573333333,0.08416058269999999
Egypt,0.2732963393333333,3.3306349699999998,5.1328979766666665,0.9083103163333333,0.2575976219999999
El Salvador,0.24639395066666667,3.81092976,4.298455956666668,0.7244988083333334,0.17670415966666672
Equatorial Guinea,0.26609598133333334,3.5429891300000005,4.301762130000002,0.8257916243333336,0.17567151599999997
Eritrea,0.22366345733333326,5.8341753600000015,3.840533666666667,0.5533302513333332,0.16494884529999998
Estonia,0.20647713166666673,4.904911830000001,3.6831709900000003,0.5841274163333333,0.08436926996666667
Eswatini,0.28447934566666666,4.220680023333334,3.4090694800000008,0.5236937260000001,0.151451019
Ethiopia,0.21533192033333337,4.345661453333333,3.505617436666667,0.5346106816666667,0.14190488433333334
Europe (IHME GBD),0.20795982499999996,4.858359899999999,3.477682623333334,0.6144339456666664,0.067875023
European Union (27),0.276138981,3.5915129333333335,4.452671473333333,0.7310852803333333,0.2896153430000001
Fiji,0.27765016666666664,3.6197537366666666,5.050168679999999,0.8203872946666667,0.37703533566666664
Finland,0.2924419086666667,2.9132200166666675,3.972813926666667,0.2747414876666667,0.09730906026666668
France,0.26371399100000004,4.5782511800000005,3.848327493333333,0.897339066,0.4614690633333333
Gabon,0.26861672733333336,4.070868753333333,6.3334205033333335,0.9034444283333334,0.44115439366666664
Gambia,0.2292549536666666,5.672411383333334,3.942196336666667,0.5621796546666666,0.17846271866666666
Georgia,0.2121028003333333,5.616541003333333,3.2715955733333337,0.5484243749999999,0.09108174909999998
Germany,0.2736103386666667,3.2703816100000007,2.5218310799999997,0.5254182449999999,0.10950309166666666
Ghana,0.2601667306666667,3.337654496666666,6.117966616666666,0.7498523119999999,0.40265292133333325
Greece,0.21319143633333343,4.360637370000001,2.969729936666667,0.5439094953333332,0.10120565669999995
Greenland,0.2727419466666666,5.285475123333333,5.627342643333334,0.9059067163333332,0.42212421566666675
Grenada,0.3786357226666667,6.287224869999999,4.785209266666667,0.6354800583333334,0.4540099636666665
Guam,0.2745169746666667,3.2169489866666665,4.230942186666666,0.9196528603333334,0.20019638733333334
Guatemala,0.32810851533333335,3.1675601699999993,3.9535361333333348,0.2850097363333334,0.17469419966666663
Guinea,0.2619045566666667,3.9599233766666666,4.14903772,0.8009671943333335,0.1746571476666667
Guinea-Bissau,0.2085815963333334,4.3180409299999996,3.3261691966666667,0.5373080520000001,0.08840271006666667
Guyana,0.20347244466666667,4.439382150000002,3.070501079999999,0.526641679,0.0856021676
Haiti,0.25783652533333334,4.906575916666666,4.3386201600000005,0.8696879726666666,0.16344570666666666
High-income countries,0.24206864733333333,3.653217726666667,4.48845619,0.8443423153333335,0.12073133296666667
Honduras,0.33046831133333326,3.600706289999999,4.84455474,0.7348852413333334,0.39791560100000006
Hungary,0.2601390366666666,3.122457213333333,3.9548705666666657,0.8115324843333334,0.15356180499999997
Iceland,0.28905868733333334,3.043920156666667,3.443287919999999,0.5379595463333333,0.164785941
India,0.277494858,3.0107888733333334,5.093999566666667,0.8996868330000001,0.41435385333333336
Indonesia,0.2817600066666666,4.112906836666666,2.869132546666667,0.35434802266666676,0.10172457546666666
Iran,0.28625694,2.385933613333333,3.4518240333333337,0.3307921183333332,0.09241259646666668
Iraq,0.25313631666666675,4.684949406666665,7.19083928,0.8167673429999999,0.22515043399999998
Ireland,0.24403212999999996,3.7213056033333336,5.104804290000001,0.6762935480000001,0.18214522566666666
Israel,0.35935977133333324,4.154150406666666,6.64844018,0.6993314870000003,0.3804153533333333
Italy,0.303294429,4.480487849999999,3.5422007566666673,1.0497659066666667,0.3427431863333333
Jamaica,0.296646902,3.6867555633333327,5.31226886,0.8824017573333334,0.533074736
Japan,0.2758818513333334,2.9402578699999995,3.9631816399999997,0.9444526533333334,0.18973715166666671
Jordan,0.302280187,2.1135508433333334,2.5441383566666667,0.6496670050000002,0.37806440799999996
Kazakhstan,0.25405307199999994,4.335669393333333,4.842814386666666,0.783755777,0.17818668333333335
Kenya,0.2761428173333334,3.48351754,2.1195399,0.5076327959999999,0.1365997271
Kiribati,0.21462071000000002,4.949576183333334,3.3823433633333346,0.6020568576666666,0.09797005713333336
Kuwait,0.25877416766666667,3.02019258,4.020844366666666,0.2572008186666667,0.06865939666666665
